729 2916
564 616 39
564 35 6
564 108 -1
565 455 -4
565 582 12
565 394 40
565 124 19
566 454 27
566 422 14
566 56 38
566 394 24
567 187 22
567 699 34
567 598 34
567 255 36
568 236 36
568 115 19
568 635 9
568 330 -3
569 720 34
569 106 29
569 457 19
569 34 21
570 159 -7
570 13 -8
570 457 -9
570 695 -6
571 313 38
571 174 19
571 713 8
571 616 -9
572 535 -9
572 399 12
572 176 -8
572 710 -1
573 577 22
573 632 -7
573 284 30
573 345 21
574 699 12
574 385 14
574 637 15
574 217 20
575 187 11
575 407 -8
575 425 24
575 66 2
576 111 40
576 637 13
576 474 35
576 133 0
577 423 17
577 176 18
577 566 0
577 720 6
578 287 -9
578 662 32
578 229 13
578 49 14
579 358 39
579 225 -5
579 458 -4
579 492 -10
580 476 20
580 457 -5
580 213 38
580 463 19
581 701 3
581 229 25
581 697 18
581 676 32
582 520 26
582 26 -1
582 725 -1
582 7 20
583 372 17
583 637 34
583 250 14
583 395 31
584 10 8
584 407 2
584 594 12
584 571 5
585 87 34
585 557 22
585 111 5
585 515 -10
586 99 31
586 554 7
586 189 35
586 198 40
587 236 13
587 79 -3
587 133 24
587 212 15
588 329 17
588 219 33
588 637 11
588 695 36
589 490 32
589 187 17
589 93 38
589 423 -5
590 204 10
590 719 -7
590 330 40
590 407 17
591 105 17
591 288 15
591 256 -3
591 489 13
592 276 33
592 131 6
592 167 -10
592 152 13
593 548 0
593 526 6
593 629 21
593 616 34
594 111 0
594 506 0
594 7 -9
594 616 39
595 253 5
595 557 11
595 646 22
595 111 26
596 345 3
596 49 -5
596 711 -9
596 492 2
597 667 40
597 386 6
597 250 13
597 336 36
598 49 18
598 54 3
598 646 3
598 339 34
599 481 37
599 557 -2
599 360 1
599 360 23
600 133 15
600 360 40
600 584 26
600 407 11
601 132 -10
601 435 11
601 284 3
601 330 11
602 562 0
602 355 28
602 698 28
602 689 39
603 35 -9
603 612 40
603 502 32
603 476 5
604 73 21
604 76 31
604 360 9
604 14 15
605 485 -3
605 580 3
605 647 32
605 345 26
606 3 37
606 368 10
606 700 21
606 389 14
607 112 0
607 18 24
607 194 -5
607 254 23
608 203 8
608 637 -7
608 720 0
608 640 33
609 357 33
609 469 25
609 695 -6
609 370 25
610 517 23
610 652 19
610 701 -4
610 386 19
611 203 25
611 3 33
611 270 27
611 217 10
612 484 40
612 358 26
612 268 -5
612 423 2
613 656 16
613 248 17
613 330 3
613 47 -6
614 106 26
614 445 7
614 696 21
614 578 39
615 255 18
615 489 14
615 199 7
615 163 7
616 244 17
616 76 19
616 330 1
616 560 28
617 62 39
617 566 39
617 108 -4
617 321 21
618 541 4
618 557 36
618 330 24
618 112 4
619 485 -8
619 645 34
619 520 22
619 219 37
620 497 24
620 103 3
620 445 7
620 557 -4
621 207 37
621 245 37
621 489 37
621 539 21
622 170 10
622 296 20
622 16 35
622 187 39
623 359 -4
623 248 1
623 250 33
623 446 4
624 613 12
624 563 5
624 557 33
624 700 -3
625 514 10
625 591 23
625 77 13
625 672 6
626 611 34
626 594 -10
626 250 10
626 68 3
627 49 39
627 700 -8
627 176 1
627 284 -4
628 443 30
628 500 30
628 284 26
628 188 32
629 373 40
629 291 -5
629 396 -8
629 170 -2
630 286 34
630 428 25
630 719 14
630 209 37
631 299 19
631 389 2
631 206 35
631 134 31
632 474 27
632 550 16
632 686 37
632 356 25
633 18 39
633 594 38
633 696 37
633 435 32
634 256 -5
634 672 13
634 297 18
634 111 -9
635 640 10
635 592 34
635 424 40
635 594 23
636 106 3
636 667 15
636 374 25
636 394 14
637 418 -2
637 347 -5
637 254 39
637 111 9
638 634 11
638 168 -1
638 183 28
638 486 20
639 358 24
639 531 18
639 183 26
639 248 27
640 531 39
640 526 4
640 571 4
640 250 35
641 602 19
641 73 27
641 537 12
641 5 34
642 176 11
642 20 -3
642 586 27
642 618 10
643 268 37
643 594 -5
643 511 24
643 420 -5
644 652 39
644 183 8
644 330 35
644 199 7
645 203 34
645 484 13
645 566 20
645 616 34
646 516 -2
646 417 5
646 659 40
646 369 11
647 593 -9
647 255 22
647 339 -3
647 0 32
648 234 34
648 675 3
648 457 2
648 37 37
649 336 -6
649 345 15
649 73 5
649 637 -10
650 447 0
650 147 17
650 700 17
650 254 25
651 254 4
651 395 17
651 514 16
651 445 35
652 105 5
652 538 -8
652 37 26
652 49 38
653 256 25
653 136 18
653 26 -6
653 352 11
654 299 4
654 71 26
654 247 26
654 485 23
655 214 -2
655 77 27
655 18 25
655 545 15
656 469 -3
656 557 31
656 336 22
656 136 -9
657 303 32
657 12 6
657 724 -3
657 234 20
658 500 4
658 12 2
658 8 5
658 569 -7
659 407 13
659 105 27
659 335 30
659 701 15
660 345 26
660 720 30
660 507 32
660 527 4
661 131 -2
661 385 9
661 163 37
661 468 19
662 624 10
662 79 27
662 268 4
662 330 -10
663 627 9
663 206 -1
663 492 5
663 225 -2
664 672 24
664 405 -5
664 333 -4
664 627 32
665 546 -10
665 659 34
665 663 0
665 499 38
666 2 15
666 693 26
666 336 31
666 360 26
667 486 9
667 167 -4
667 219 13
667 727 -4
668 253 -1
668 3 37
668 337 39
668 438 12
669 275 31
669 153 34
669 273 1
669 61 36
670 502 -10
670 255 18
670 572 -6
670 200 2
671 234 16
671 701 31
671 594 38
671 578 3
672 402 0
672 481 38
672 399 19
672 531 13
673 207 31
673 506 -2
673 241 39
673 405 6
674 610 4
674 469 16
674 79 13
674 376 3
675 283 20
675 209 -9
675 363 37
675 380 16
676 634 -2
676 569 21
676 299 32
676 321 0
677 56 31
677 268 22
677 239 0
677 407 -8
678 659 -5
678 658 33
678 26 32
678 632 5
679 448 27
679 713 31
679 485 16
679 326 13
680 26 15
680 403 -9
680 580 6
680 501 12
681 244 23
681 362 -2
681 389 3
681 326 -2
682 707 22
682 697 38
682 275 27
682 545 28
683 107 0
683 319 28
683 640 30
683 575 15
684 339 2
684 672 12
684 454 26
684 268 29
685 330 14
685 368 -6
685 358 18
685 168 9
686 166 1
686 634 8
686 330 11
686 649 37
687 66 -2
687 446 33
687 297 -3
687 286 11
688 410 2
688 189 39
688 210 28
688 596 39
689 132 7
689 439 -5
689 284 21
689 335 32
690 551 14
690 634 2
690 407 14
690 160 8
691 616 -3
691 268 22
691 391 38
691 727 11
692 454 39
692 566 36
692 187 10
692 389 0
693 417 37
693 623 23
693 163 13
693 666 9
694 199 25
694 500 40
694 187 19
694 545 24
695 382 4
695 287 36
695 448 16
695 667 33
696 176 11
696 672 23
696 171 11
696 343 4
697 672 26
697 476 35
697 108 4
697 176 3
698 582 10
698 388 -4
698 713 3
698 587 9
699 360 -6
699 374 -8
699 484 -5
699 308 5
700 163 37
700 344 0
700 144 -3
700 288 5
701 187 1
701 268 33
701 566 14
701 637 2
702 330 -4
702 640 -7
702 407 5
702 77 21
703 699 -4
703 134 -9
703 242 20
703 30 11
704 407 17
704 174 1
704 174 8
704 287 34
705 111 8
705 652 18
705 614 25
705 423 30
706 707 34
706 676 31
706 209 17
706 394 29
707 163 32
707 500 28
707 407 5
707 643 35
708 481 9
708 374 25
708 445 -7
708 380 37
709 454 -8
709 407 14
709 660 32
709 330 7
710 35 29
710 79 4
710 256 16
710 640 39
711 214 4
711 278 11
711 394 8
711 274 -8
712 24 5
712 55 -10
712 296 29
712 358 34
713 647 34
713 247 16
713 26 12
713 183 17
714 35 -6
714 513 29
714 254 3
714 20 17
715 213 26
715 217 26
715 422 13
715 540 38
716 551 9
716 121 15
716 177 -7
716 571 16
717 6 39
717 303 38
717 357 10
717 24 1
718 283 25
718 275 -2
718 422 15
718 165 32
719 284 39
719 454 -1
719 325 10
719 8 -3
720 526 4
720 334 -4
720 618 8
720 163 14
721 492 21
721 594 -3
721 151 14
721 398 -10
722 618 -8
722 68 22
722 325 13
722 557 2
723 491 35
723 454 27
723 635 5
723 550 -2
724 439 -3
724 667 -2
724 79 29
724 122 12
725 330 -8
725 394 -9
725 299 3
725 283 9
726 492 36
726 277 21
726 174 3
726 171 13
727 492 -3
727 613 -2
727 339 4
727 659 4
728 455 32
728 386 5
728 206 31
728 168 -10
